Date,Price,Return,Sign,avg_positive_XLF,avg_neutral_XLF,avg_negative_XLF,n_XLF,sent_index_XLF,is_trading_day
2018-10-10,23.770723342895508,-0.0309829220984508,-1.0,0.10962875290877284,0.4227236484487851,0.46764760153989,9.0,-0.35801884863111716,1.0
2018-10-11,23.06310272216797,-0.0297685775279122,-1.0,0.21997553275691134,0.45139822074108654,0.3286262409140666,9.0,-0.10865070815715527,1.0
2018-10-12,23.08931350708008,0.0011364812977621,1.0,0.5265912930998538,0.24437841338415942,0.22903029827607999,9.0,0.29756099482377374,1.0
2018-10-15,22.98448371887207,-0.0045401864449484,-1.0,0.14682710526341738,0.3691471547565677,0.4840257222002203,11.0,-0.33719861693680286,1.0
2018-10-16,23.36886405944824,0.016723470723885,1.0,0.26187650014956787,0.42944141663610935,0.30868207452197866,15.0,-0.046805574372410785,1.0
2018-10-17,23.604734420776367,0.0100933601534116,1.0,0.11816091271531248,0.28759654921789957,0.5942425636781586,9.0,-0.47608165096284616,1.0
2018-10-18,23.21161842346192,-0.0166541165135261,-1.0,0.15812065090156258,0.425042608131965,0.4168367423117161,9.0,-0.2587160914101535,1.0
2018-10-19,23.298974990844727,0.0037634845528267,1.0,0.06026836376016335,0.5893526195238034,0.3503790204413235,6.0,-0.29011065668116015,1.0
2018-10-22,22.801023483276367,-0.0213722495416226,-1.0,0.04127061665058133,0.3909621736966073,0.5677671931684017,10.0,-0.5264965765178204,1.0
2018-10-23,22.617572784423828,-0.0080457221136188,-1.0,0.28506526816636324,0.3650135202333331,0.3499211994931102,4.0,-0.06485593132674694,1.0
2018-10-24,22.049728393554688,-0.0251063363996423,-1.0,0.11146933473646636,0.5344146861694753,0.3541159866377711,10.0,-0.24264665190130474,1.0
2018-10-25,22.390430450439453,0.0154515307764224,1.0,0.32010690386717516,0.35532924470802146,0.3245638598067065,6.0,-0.004456955939531326,1.0
2018-10-26,22.067201614379883,-0.0144360259966875,-1.0,0.05530342878773805,0.39008331112563605,0.554613261949271,4.0,-0.49930983316153293,1.0
2018-10-29,22.259387969970703,0.0087091403318482,1.0,0.33489557603995007,0.5505989218751589,0.11450550255055224,6.0,0.22039007348939782,1.0
2018-10-30,22.64377784729004,0.0172686633539924,1.0,0.6333696084717909,0.3422029862801234,0.024427387863397532,3.0,0.6089422206083934,1.0
2018-10-31,22.95827293395996,0.0138888081657964,1.0,0.16791561214874184,0.18081149272620675,0.6512729202707608,3.0,-0.48335730812201894,1.0
2018-11-01,23.06310272216797,0.0045661007911854,1.0,0.20128803966300826,0.6200439046536174,0.1786680515589458,7.0,0.02261998810406246,1.0
2018-11-02,23.04563331604004,-0.0007574612288023,-1.0,0.504935533222225,0.14383579066230187,0.35122867632243365,9.0,0.1537068568997913,1.0
2018-11-05,23.412540435791016,0.0159208954997822,1.0,0.08380085323005909,0.6004859380997144,0.3157132209207003,13.0,-0.23191236769064122,1.0
2018-11-06,23.534852981567383,0.005224232120893,1.0,0.0249659963883459,0.4664719756692648,0.5085620482762655,6.0,-0.4835960518879196,1.0
2018-11-07,23.84061050415039,0.0129916903590805,1.0,0.02916075065731998,0.2814465351402759,0.6893927022814751,5.0,-0.6602319516241552,1.0
2018-11-08,23.91050148010254,0.0029315933809657,1.0,0.18730727978982029,0.30355136888101697,0.5091413225745782,8.0,-0.3218340427847579,1.0
2018-11-09,23.69210433959961,-0.009133942284091,-1.0,0.2764243964105844,0.57789506316185,0.14568053185939783,5.0,0.13074386455118658,1.0
